TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR|FLAGPROD
5859/TAT/HO/09/2022|20119399|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20120219|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20120220|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20120221|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20122582|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20122583|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20122584|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20122585|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20122586|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20122587|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20122588|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20122589|01/09/2022|30/09/2022|
5949/TAT/HO/09/2022|10013027|17/09/2022|30/09/2022|HBS=Y
5923/TAT/HO/09/2022|20123854|16/09/2022|30/09/2022|HBS=Y
5860/TAT/HO/09/2022|20080342|01/09/2022|30/09/2022|
5860/TAT/HO/09/2022|20081446|01/09/2022|30/09/2022|
5860/TAT/HO/09/2022|20100407|01/09/2022|30/09/2022|
5860/TAT/HO/09/2022|20100408|01/09/2022|30/09/2022|
5860/TAT/HO/09/2022|20100410|01/09/2022|30/09/2022|
5860/TAT/HO/09/2022|20100411|01/09/2022|30/09/2022|
5860/TAT/HO/09/2022|20115533|01/09/2022|30/09/2022|
5860/TAT/HO/09/2022|20115534|01/09/2022|30/09/2022|
5860/TAT/HO/09/2022|20115535|01/09/2022|30/09/2022|
5980/TAT/HO/09/2022|20040893|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20040894|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20040895|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20040896|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20040898|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20053906|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20056050|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20056053|26/09/2022|30/09/2022|HBS=Y
5980/TAT/HO/09/2022|20069033|26/09/2022|30/09/2022|HBS=Y
