PLU|DC|WILAYAH|FLAGPROD|MINOR|TIPE_GDG
10008554|G097|MDO||1|
10008574|G097|MDO|BAP=Y|1000|
10008579|G097|MDO||20|
10008580|G097|MDO||2|
10008581|G097|MDO|TBO=N|2|
10008590|G097|MDO||1|
10008594|G097|MDO||0|
10008595|G097|MDO||0|
10008596|G097|MDO||0|
10008599|G097|MDO|TBO=Y|1|
10008611|G097|MDO||2|
10008620|G097|MDO||1|
10008646|G097|MDO||1|
10008651|G097|MDO||1|
10008652|G097|MDO|TBO=Y|1|
10008653|G097|MDO||1|
10008683|G097|MDO|TBO=N|1|
10008774|G097|MDO||1|
10008781|G097|MDO||1|
10008819|G097|MDO|TBO=N|2|
10008821|G097|MDO||0|
10008825|G097|MDO|TBO=N|40|
10008826|G097|MDO||4|
10008867|G097|MDO||1|
10008882|G097|MDO|TBO=N|20|
10008887|G097|MDO|TBO=N|24|
10008916|G097|MDO|BAP=Y|1|
10008953|G097|MDO||1|
10008989|G097|MDO||12|
10008992|G097|MDO||1|
10009006|G097|MDO||10|
10009007|G097|MDO||1|
10009014|G097|MDO||1|
10009036|G097|MDO|TBO=N|1|
10009039|G097|MDO||1|
10009149|G097|MDO||2|
10009160|G097|MDO||1|
10009171|G097|MDO||1|
10009231|G097|MDO||2|
10009288|G097|MDO|TBO=N|1|
10009291|G097|MDO||1|
10009296|G097|MDO||3|
10009297|G097|MDO|TBO=N|1|
10009387|G097|MDO||0|
10009493|G097|MDO|TBO=N|2|
10009494|G097|MDO||1|
10009495|G097|MDO||1|
10009496|G097|MDO|TBO=N|2|
10009643|G097|MDO|TBO=Y|1|
10009649|G097|MDO|TBO=Y|4|
10009742|G097|MDO||1|
10009753|G097|MDO||1|
10009996|G097|MDO||1|
10010074|G097|MDO|TBO=Y|10|
10010075|G097|MDO|TBO=N|10|
10010077|G097|MDO||10|
10010078|G097|MDO|TBO=N|20|
10010080|G097|MDO||10|
10010081|G097|MDO||10|
10010082|G097|MDO||10|
10010083|G097|MDO|TBO=Y|0|
10010084|G097|MDO||10|
10010088|G097|MDO|TBO=N|10|
10010090|G097|MDO|TBO=N|10|
10010091|G097|MDO|TBO=N|10|
10010094|G097|MDO||10|
10010100|G097|MDO||10|
10010102|G097|MDO||10|
10010105|G097|MDO|TBO=Y|10|
10010112|G097|MDO||10|
10010113|G097|MDO||10|
10010152|G097|MDO||2|C
10010168|G097|MDO||2|
10010189|G097|MDO||1|
10010192|G097|MDO||10|
10010220|G097|MDO|TBO=N|6|
10010232|G097|MDO||1|
10010246|G097|MDO||1|
10010255|G097|MDO||1|
10010256|G097|MDO||1|
10010349|G097|MDO||1|
10010350|G097|MDO||1|
10010351|G097|MDO||1|
10010357|G097|MDO||1|
10010413|G097|MDO||1|
10010423|G097|MDO||1|
10010448|G097|MDO||0|
10010480|G097|MDO||1|
10010509|G097|MDO|TBO=N|2|
10010596|G097|MDO||1|
10010683|G097|MDO|TBO=N|12|
10010714|G097|MDO||1|
10010741|G097|MDO|BAP=Y|1000|
10010749|G097|MDO||1|
10010804|G097|MDO|TBO=N|24|
10010805|G097|MDO|TBO=N|12|
10010825|G097|MDO||1|
10010841|G097|MDO||10|
10010874|G097|MDO|TBO=N|2|
10010933|G097|MDO|TBO=Y|1|
10010946|G097|MDO|TBO=Y|1|
10011020|G097|MDO||1|
10011021|G097|MDO||1|
10011038|G097|MDO||2|
10011076|G097|MDO||12|P
10011078|G097|MDO||12|P
10011186|G097|MDO||0|
10011235|G097|MDO||1|
10011262|G097|MDO|BAP=Y|1000|
10011311|G097|MDO||0|
10011327|G097|MDO|TBO=Y|1|
10011424|G097|MDO||1|
10011440|G097|MDO||1|
10011452|G097|MDO||2|
10011507|G097|MDO||1|
10011570|G097|MDO||0|
10011593|G097|MDO||1|
10011626|G097|MDO||0|
10011772|G097|MDO||1|
10011784|G097|MDO||1|C
10011801|G097|MDO||0|
10011802|G097|MDO||0|
10011819|G097|MDO||1|
10011850|G097|MDO|TBO=N|1|
10011852|G097|MDO||1|
10011867|G097|MDO||2|
10011976|G097|MDO||1|
10012104|G097|MDO||0|
10012172|G097|MDO||1|
10012198|G097|MDO||1|
10012263|G097|MDO||2|
10012304|G097|MDO|TBO=Y|12|P
10012338|G097|MDO|TBO=N|24|
10012386|G097|MDO||1|
10012397|G097|MDO||1|
10012548|G097|MDO||1|
10012597|G097|MDO||0|
10012669|G097|MDO|TBO=N|1|
10012742|G097|MDO|TBO=N|2|
10012752|G097|MDO||1|
10012753|G097|MDO||12|
10012757|G097|MDO||10|
10012827|G097|MDO||1|
10012828|G097|MDO||1|
10012840|G097|MDO||1|
10012917|G097|MDO||1|
10012967|G097|MDO|TBO=N|1|
10013027|G097|MDO||2|
10013035|G097|MDO||1|
10013039|G097|MDO||1|C
10013041|G097|MDO||1|
10013050|G097|MDO|TBO=Y|0|
10013100|G097|MDO||24|
10013107|G097|MDO||1|
10013160|G097|MDO||5|
10013184|G097|MDO|BAP=Y|1000|
10013212|G097|MDO||1|
10013352|G097|MDO||1|
10013353|G097|MDO||1|
10013360|G097|MDO||1|
10013361|G097|MDO||1|
10013365|G097|MDO||1|
10013367|G097|MDO||1|
