RECID|RTYPE|DOCNO|SEQNO|DIV|PRDCD|QTY|PRICE|GROSS|CTERM|DOCNO2|ISTYPE|INVNO|TOKO|DATE|DATE2|KETERANGAN|PTAG|CAT_COD|LOKASI|TGL1|TGL2|PPN|TOKO_1|DATE3|DOCNO3|SHOP|PRICE_IDM|PPNBM_IDM|PPNRP_IDM|LT|RAK|BAR|BKP|SUB_BKP|PLUMD|GROSS_JUAL|PRICE_JUAL|KODE_SUPPLIER|DISC05|RATE_PPN|JAM
|X|172855|1|32|20054823|816|22.86|18651|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054823|0|0.00||0.0000|0|07:43:47
|X|172856|1|32|10030571|-1140|16.00|-18239|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10030571|0|0.00||0.0000|0|07:44:03
|X|172857|1|32|20054823|798|22.86|18240|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054823|0|0.00||0.0000|0|07:44:04
|X|172858|1|32|10030571|-1092|16.00|-17471|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10030571|0|0.00||0.0000|0|07:44:11
|X|172859|1|32|20054823|764|22.86|17463|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054823|0|0.00||0.0000|0|07:44:12
|X|172861|1|37|20073180|-6|4900.00|-29400|1|172861|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4900.000|0.000|539.000||||T|Y|20073180|0|0.00||0.0000|0|08:10:17
|X|172862|1|37|20076651|6|4900.00|29400|1|172862|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4900.000|0.000|539.000||||T|Y|20076651|0|0.00||0.0000|0|08:10:19
|X|172863|1|37|20084153|-6|4500.00|-27000|1|172863|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4500.000|0.000|495.000||||T|Y|20084153|0|0.00||0.0000|0|08:10:57
|X|172864|1|37|20071450|6|4500.00|27000|1|172864|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4500.000|0.000|495.000||||T|Y|20071450|0|0.00||0.0000|0|08:10:59
|X|172865|1|37|20087466|-8|5450.00|-43600|1|172865|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5450.000|0.000|600.000||||T|Y|20087466|0|0.00||0.0000|0|08:11:15
|X|172866|1|37|20087467|8|5450.00|43600|1|172866|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5450.000|0.000|600.000||||T|Y|20087467|0|0.00||0.0000|0|08:11:17
|X|172867|1|37|20078594|-5|5100.00|-25500|1|172867|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5100.000|0.000|561.000||||T|Y|20078594|0|0.00||0.0000|0|08:12:16
|X|172868|1|37|20078595|5|5100.00|25500|1|172868|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5100.000|0.000|561.000||||T|Y|20078595|0|0.00||0.0000|0|08:12:18
|X|172869|1|37|20104104|-10|4300.00|-43000|1|172869|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4300.000|0.000|473.000||||T|Y|20104104|0|0.00||0.0000|0|08:13:01
|X|172870|1|37|20104103|10|4300.00|43000|1|172870|KO|0|TI4C|220816|0|KONVERSI NKL||043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|4300.000|0.000|473.000||||T|Y|20104103|0|0.00||0.0000|0|08:13:02
|X|172871|1|32|20035172|-3000|24.50|-73500|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20035172|0|0.00||0.0000|0|08:21:33
|X|172872|1|32|20094032|2400|30.63|73500|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20094032|0|0.00||0.0000|0|08:21:34
|X|172874|1|37|20073168|-1|5950.00|-5950|1|172874|KO|0|TI4C|220816|0|KONVERSI NKL|Z|043703||16-08-2022|16-08-2022|0.0000000|||0|TI4C|5950.000|0.000|654.000||||T|Y|20073168|0|0.00||0.0000|0|08:29:37
